action step xA yA dirA xB yB dirB
- 0 1 2 1 3 4 0
[Move] 1 1 3 2 2 4 3
[Move] 2 1 2 0 2 3 0
[Move] 3 1 1 0 3 3 1
[Move] 4 2 1 1 3 4 2
[Move] 5 3 1 1 2 4 3
[Move] 6 2 1 3 2 3 0
[Move] 7 3 1 1 1 3 3
[Move] 8 3 2 2 1 2 0
[Move] 9 3 1 0 2 2 1
[Move] 10 4 1 1 2 1 0
[Move] 11 3 1 3 1 1 3
[Move] 12 3 2 2 2 1 1
[Move] 13 4 2 1 2 2 2
[Move] 14 4 1 0 3 2 1
[Move] 15 3 1 3 3 1 0
[Move] 16 4 1 1 2 1 3
[Move] 17 4 2 2 3 1 1
[Move] 18 4 1 0 4 1 1
[Move] 19 4 2 2 3 1 3
[Move] 20 3 2 3 2 1 3
[Move] 21 2 2 3 2 2 2
[Move] 22 2 3 2 2 3 2
[Move] 23 3 3 1 2 2 0
[Move] 24 4 3 1 2 3 2
[Move] 25 3 3 3 3 3 1
[Move] 26 2 3 3 3 4 2
[Move] 27 3 3 1 2 4 3
[Move] 28 3 4 2 3 4 1
[Move] 29 4 4 1 2 4 3
[Move] 30 4 3 0 3 4 1
[Move] 31 3 3 3 4 4 1
[Move] 32 4 3 1 3 4 3
[Move] 33 3 3 3 4 4 1
[Move] 34 3 4 2 4 3 0
[Move] 35 2 4 3 4 4 2
[Move] 36 2 3 0 3 4 3
[Move] 37 1 3 3 3 3 0
[Move] 38 1 2 0 2 3 3
[Move] 39 2 2 1 1 3 3
[Move] 40 3 2 1 1 2 0
[Move] 41 3 3 2 2 2 1
[Move] 42 2 3 3 2 3 2
[Move] 43 2 2 0 1 3 3
[Move] 44 3 2 1 1 2 0
[Move] 45 2 2 3 2 2 1
[Move] 46 3 2 1 2 3 2
[Move] 47 2 2 3 1 3 3
[Move] 48 2 1 0 1 2 0
[Move] 49 2 2 2 1 3 2
[Move] 50 2 1 0 1 4 2
[Move] 51 3 1 1 2 4 1
[Move] 52 4 1 1 3 4 1
[Move] 53 4 2 2 4 4 1
[Move] 54 4 1 0 4 3 0
[Move] 55 3 1 3 3 3 3
[Move] 56 3 2 2 4 3 1
[Move] 57 3 1 0 4 2 0
[Move] 58 4 1 1 4 1 0
[Move] 59 4 2 2 4 2 2
[Move] 60 4 3 2 4 1 0
[Move] 61 4 2 0 4 2 2
[Move] 62 3 2 3 3 2 3
[Move] 63 4 2 1 2 2 3
[Move] 64 4 1 0 2 3 2
[Move] 65 3 1 3 2 4 2
[Move] 66 3 2 2 3 4 1
[Move] 67 3 1 0 2 4 3
